,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
803,"3bdrm Apartment in Ikeja Gra, Lekki, for sale","Ikeja, Ikeja GRA",Ikeja GRA,350000000.0,200,3,4,Unfurnished,1,Lagos,1750000.0
804,4bdrm Duplex in Ikota Lekki for sale,"Lekki, Ikota",Ikota,150000000.0,200,4,5,Unfurnished,1,Lagos,750000.0
805,"4bdrm Duplex in 2Nd Toll Gate, Lekki for sale","Lekki, Lekki Phase 2",Lekki Phase 2,195000000.0,300,4,5,Unfurnished,1,Lagos,650000.0
806,4bdrm Duplex in Orchid Road Lekki for sale,"Lagos State, Lekki",Lekki,240000000.0,300,4,5,Unfurnished,1,Lagos,800000.0
807,"5bdrm Duplex in Osapa, Lekki for sale","Lagos State, Lekki",Lekki,360000000.0,300,5,6,Unfurnished,1,Lagos,1200000.0
808,4bdrm Duplex in Off Awoyaya New Road for sale,"Ibeju, Awoyaya",Awoyaya,30000000.0,380,4,5,Unfurnished,1,Lagos,78947.0
809,"3bdrm Bungalow in Oke Arubi Adamo, Ikorodu for sale","Lagos State, Ikorodu",Ikorodu,16000000.0,750,3,4,Unfurnished,1,Lagos,21333.0
810,"Furnished 4bdrm Bungalow in Omitoro, Ijede / Ikorodu for sale","Ikorodu, Ijede / Ikorodu",Ijede / Ikorodu,45000000.0,648,4,5,Furnished,1,Lagos,69444.0
811,"Furnished 3bdrm Bungalow in Eleshin, Ijede / Ikorodu for sale","Ikorodu, Ijede / Ikorodu",Ijede / Ikorodu,43000000.0,600,3,4,Furnished,1,Lagos,71667.0
812,Furnished 5bdrm Duplex in Ajao Estate for sale,"Isolo, Ajao Estate",Ajao Estate,260000000.0,648,5,6,Furnished,1,Lagos,401235.0
813,"Furnished 3bdrm Bungalow in Prime Property, Warri for sale","Delta State, Warri",Warri,28500000.0,150,3,2,Furnished,1,Delta,190000.0
814,"5bdrm Duplex in Ikate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,350000000.0,300,5,5,Semi-furnished,1,Lagos,1166667.0
815,"2bdrm Duplex in Carlton Gate, Ibadan for sale","Oyo State, Ibadan",Ibadan,100000000.0,250,2,2,Semi-furnished,1,Oyo,400000.0
